transport_do_sklepow_tyg [*,Piaseczno,Buraki,*] (tr)
:  ArabicGroceryShop DobryWarzywniak Krzesak UKermita    :=
10   0.055   2.383      0.511        0.241
11   1.819   0.000      0.000        0.000
12   0.000   7.598      0.945        0.000
13   0.858   0.000      1.044        3.166
14   1.396   0.000      3.017        0.000
15   0.000   0.000      0.000        0.000
16   0.683   0.000      0.000        2.485
17   2.259   0.790      1.142        0.000
18   0.000   4.716      2.459        0.851
19   1.298   0.000      0.000        1.158
20   0.000   0.000      0.906        1.212
21   2.636   1.356      2.185        4.329
22   1.056   6.291      0.000        0.000
23   0.000   0.000      1.991        0.000
24   0.000   0.000      1.614        0.000
25   0.946   0.000      0.000        1.477
26   3.152   5.951      2.247        3.521
27   0.000   0.000      0.000        0.000
28   0.024   0.000      2.284        0.000
29   1.520   2.058      0.000        2.532
30   0.524   3.775      0.000        0.000
31   1.083   0.000      2.453        2.128
32   1.073   3.972      0.000        3.183
33   1.444   0.000      3.552        0.415
34   0.945   4.110      0.000        0.000
35   0.891   0.000      0.000        1.414
36   0.000   2.156      3.092        1.174
37   2.374   1.974      0.000        1.578
38   0.000   1.824      0.000        1.384
39   1.731   2.299      0.000        1.160
40   0.000   6.153      2.876        1.568
41   1.900   0.000      0.000        1.533
42   0.000   0.000      0.804        3.459
43   1.096   2.028      0.000        0.000
44   3.220   6.376      1.227        0.731
45   0.000   0.000      1.227        2.765
46   0.000   0.434      1.227        0.000
47   1.073   3.033      2.453        2.536
48   2.147   0.000      0.000        0.000
49   0.000   2.026      1.081        2.564
50   0.539   5.758      2.944        0.000
51   1.807   0.000      0.000        1.329
52   0.000   0.000      0.000        1.508

 [*,Zielonka,Kapusta,*] (tr)
:  ArabicGroceryShop Stoisko UAktora UKarolci UPanaWojtka VegitoWarzywa    :=
1         0.715        0.849   0.000   1.213      0.766        1.594
2         1.630        0.542   0.000   4.288      0.821        0.000
3         0.000        1.355   0.731   0.000      1.330        3.742
4         2.249        0.000   0.000   0.000      0.000        0.000
5         0.000        0.703   1.384   0.000      1.464        0.000
6         0.000        1.637   0.000   0.963      0.000        0.000
7         2.102        0.000   0.000   1.711      1.068        0.000
8         0.000        0.000   0.000   0.000      0.432        0.316
9         0.000        1.846   0.000   3.757      0.748        0.842
10        0.730        0.000   0.000   0.148      0.522        1.233
11        2.071        0.000   0.000   0.000      2.146        0.000
12        0.000        1.031   0.537   0.000      0.000        2.151
13        0.000        0.000   0.000   0.406      0.000        0.000
14        1.715        0.915   0.873   0.945      0.541        0.000
15        0.000        0.000   0.000   1.530      1.335        1.457
16        0.000        1.572   0.000   0.000      0.000        0.000
17        1.218        0.000   0.000   1.105      0.718        2.000
18        0.000        0.000   0.000   0.931      0.810        0.000
19        1.338        0.406   1.145   2.951      1.311        0.000
20        0.000        2.419   0.000   0.000      0.000        1.349
21        2.876        0.000   0.000   0.000      0.710        0.000
22        0.000        0.000   0.000   2.005      2.055        0.758
23        0.000        0.000   0.200   0.000      0.000        2.972
24        0.000        0.654   1.349   1.008      0.256        0.000
25        0.786        1.907   0.000   3.428      0.768        0.000
26        0.630        0.000   0.000   0.000      2.232        0.191
27        0.778        0.112   0.000   0.000      0.067        1.611
28        2.740        0.953   0.000   2.697      0.000        0.000
29        0.000        0.928   0.000   0.000      1.682        1.523
30        0.745        0.637   0.000   2.717      0.000        0.000
31        0.000        1.680   0.000   0.000      1.060        2.274
